name,address,source,category,latitude,longitude
University Religious Center,Unknown,OpenStreetMap,Academic Building,,
Mudd Hall,Unknown,OpenStreetMap,Academic Building,,
Dr. Joseph Medicine Crow Center for International and Public Affairs,Unknown,OpenStreetMap,Academic Building,,
Zumberge Hall,"3651 Trousdale Parkway, Los Angeles, CA 90089-0374",OpenStreetMap,Academic Building,,
Davidson Continuing Education Center;USC International Academy,"3415 Figueroa Street, Los Angeles, CA 90089-0871",OpenStreetMap,Academic Building,,
Unknown,Unknown,OpenStreetMap,Other,,
Edward L Doheny Junior Memorial Library,Unknown,OpenStreetMap,Academic Building,,
Student Union,Unknown,OpenStreetMap,Other,,
Elvon and Mabel Musick Law Building,Unknown,OpenStreetMap,Academic Building,,
Hoffman Hall,Unknown,OpenStreetMap,Academic Building,,
Heritage Hall,Unknown,OpenStreetMap,Academic Building,,
Beigler Hall of Engineering,"920 Downey Way, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0205376,-118.2885378
Bridge Hall,Unknown,OpenStreetMap,Academic Building,,
"John R. Hubbard Hall, Student Administrative Services",Unknown,OpenStreetMap,Academic Building,,
Allan Hancock Foundation,Unknown,OpenStreetMap,Other,,
Town and Gown,Unknown,OpenStreetMap,Other,,
Glorya Kaufman International Dance Center,Unknown,OpenStreetMap,Academic Building,,
Widney Alumni House,Unknown,OpenStreetMap,Other,,
Steven and Katherine Sample Hall,Unknown,OpenStreetMap,Academic Building,,
Amy King Dundon-Berchtold University Club of USC,Unknown,OpenStreetMap,Other,,
Ronald Tutor Campus Center,Unknown,OpenStreetMap,Academic Building,,
Hall Building (HSH),Unknown,OpenStreetMap,Academic Building,,
Elaine and Kenneth Leventhal School of Accounting,Unknown,OpenStreetMap,Academic Building,,
Verna and Peter Dauterive Hall,Unknown,OpenStreetMap,Academic Building,,
John Mckay Center,"940 West 35th Street, Los Angeles, CA 90007",OpenStreetMap,Academic Building,34.0231165,-118.2877248
Stabler Hall,"840 Downey Way, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0196752,-118.2864941
Ahn House,Unknown,OpenStreetMap,Other,,
Albert S Raubenheimer Music Faculty Memorial Building,Unknown,OpenStreetMap,Academic Building,,
Annenberg School for Communication & Journalism,Unknown,OpenStreetMap,Academic Building,,
Parkside Arts and Humanities Residential College,"902 West 37th Street, Los Angeles, CA 90089",OpenStreetMap,Other,34.018728,-118.2900705
Bing Theater,Unknown,OpenStreetMap,Other,,
Bovard Administration Building,Unknown,OpenStreetMap,Academic Building,,
College Academic Services Building,Unknown,OpenStreetMap,Academic Building,,
College House,Unknown,OpenStreetMap,Other,,
Denney Research Center,"1042 Downey Way, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.021418,-118.2911356
Engemann Student Health Center,Unknown,OpenStreetMap,Academic Building,,
Figueroa Building,Unknown,OpenStreetMap,Academic Building,,
Frank R Seaver Science Center,"920 Bloom Walk, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0198063,-118.2892802
Galen Center,Unknown,OpenStreetMap,Academic Building,,
"Grace Ford Salvatori Hall of Letters, Arts and Sciences",Unknown,OpenStreetMap,Academic Building,,
Hedco Neurosciences Building,Unknown,OpenStreetMap,Academic Building,,
Hughes Aircraft Electrical Engineering Center,"3740 McClintock Avenue, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0197171,-118.2900992
Parkside International Residential College,"3771 McClintock Avenue, Los Angeles, CA 90089",OpenStreetMap,Other,34.0191785,-118.2910862
Irani Hall,"1050 Childs Way, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0222028,-118.2902712
Jefferson Building,Unknown,OpenStreetMap,Academic Building,,
John Williams Scoring Stage,Unknown,OpenStreetMap,Other,,
Joint Educational Project House,Unknown,OpenStreetMap,Other,,
Kaprielian Hall,"3620 Childs Way, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0224141,-118.2910233
Kenneth and Eileen Norris Cinema Center,Unknown,OpenStreetMap,Academic Building,,
Leavey Library,Unknown,OpenStreetMap,Academic Building,,
